id_prosite,num_prosite,id_enzyme
974,PDOC00128,4703
975,PDOC00128,4704
976,PDOC00128,4705
977,PDOC00128,4706
978,PDOC00128,4716
979,PDOC00128,4717
980,PDOC00128,4719
981,PDOC00128,4720
982,PDOC00128,4721
983,PDOC00128,4722
984,PDOC00128,4723
985,PDOC00128,4724
986,PDOC00128,4725
987,PDOC00128,4726
988,PDOC00128,4730
989,PDOC00128,4733
990,PDOC00128,4735
991,PDOC00128,4736
992,PDOC00669,4737
993,PDOC00128,4739
994,PDOC00128,4740
995,PDOC00128,4741
996,PDOC00128,4742
997,PDOC00128,4746
998,PDOC00128,4747
999,PDOC00128,4748
1000,PDOC00657,4750
1001,PDOC00128,4751
1002,PDOC00129,4754
1003,PDOC00129,4760
1004,PDOC00129,4764
1005,PDOC00129,4765
1006,PDOC00129,4767
1007,PDOC00129,4768
1008,PDOC00129,4769
1009,PDOC00129,4770
1010,PDOC00129,4771
1011,PDOC00129,4774
1012,PDOC00129,4775
1013,PDOC00129,4776
1014,PDOC00129,4777
1015,PDOC00129,4778
1016,PDOC00129,4779
1017,PDOC00129,4780
1018,PDOC00129,4781
1019,PDOC00129,4782
1020,PDOC00129,4783
1021,PDOC00129,4784
1022,PDOC00129,4787
1023,PDOC00129,4788
1024,PDOC00129,4789
1025,PDOC00129,4790
1026,PDOC00129,4791
1027,PDOC00129,4792
1028,PDOC00129,4793
1029,PDOC00129,4794
1030,PDOC00129,4795
1031,PDOC00129,4796
1032,PDOC00129,4797
1033,PDOC00129,4798
1034,PDOC00129,4799
1035,PDOC00129,4800
1036,PDOC00129,4801
1037,PDOC00129,4802
1038,PDOC00129,4803
1039,PDOC00129,4804
1040,PDOC00129,4805
1041,PDOC00129,4806
1042,PDOC00129,4807
1043,PDOC00130,4808
1044,PDOC00130,4809
1045,PDOC00779,4810
1046,PDOC00129,4811
1047,PDOC00129,4812
1048,PDOC00130,4814
1049,PDOC00129,4816
1050,PDOC00130,4817
1051,PDOC00129,4818
1052,PDOC00129,4819
1053,PDOC00129,4820
1054,PDOC00129,4821
1055,PDOC00129,4822
1056,PDOC00129,4823
1057,PDOC00129,4824
1058,PDOC00129,4825
1059,PDOC00129,4826
1060,PDOC00129,4830
1061,PDOC00129,4832
1062,PDOC00129,4833
1063,PDOC00129,4834
1064,PDOC00129,4835
1065,PDOC00129,4836
1066,PDOC00129,4837
1067,PDOC00129,4838
1068,PDOC00129,4839
1069,PDOC00129,4840
1070,PDOC00326,4841
1071,PDOC00668,4841
1072,PDOC00132,4889
1073,PDOC00132,4890
1074,PDOC00494,4892
1075,PDOC50263,4892
1076,PDOC00133,4893
1077,PDOC50263,4894
1078,PDOC50263,4900
1079,PDOC00613,4902
1080,PDOC00613,4904
1081,PDOC00613,4906
1082,PDOC00737,4916
1083,PDOC00132,4926
1084,PDOC50263,4980
1085,PDOC00494,4987
1086,PDOC50263,4988
1087,PDOC00401,5011
1088,PDOC00401,5013
1089,PDOC00134,5014
1090,PDOC00606,5014
1091,PDOC00494,5020
1092,PDOC00135,5028
1093,PDOC00135,5034
1094,PDOC00135,5035
1095,PDOC00135,5038
1096,PDOC00135,5049
1097,PDOC00419,5057
1098,PDOC00702,5058
1099,PDOC00419,5059
1100,PDOC00616,5062
1101,PDOC00702,5065
1102,PDOC00672,5069
1103,PDOC00702,5076
1104,PDOC00712,5096
1105,PDOC50263,5096
1106,PDOC00712,5102
1107,PDOC00894,5109
1108,PDOC00325,5114
1109,PDOC00952,5118
1110,PDOC00136,5120
1111,PDOC00952,5128
1112,PDOC00694,5130
1113,PDOC00695,5130
1114,PDOC00695,5135
1115,PDOC00694,5142
1116,PDOC00952,5155
1117,PDOC00627,5158
1118,PDOC00695,5165
1119,PDOC00139,5187
1120,PDOC00139,5188
1121,PDOC00139,5189
1122,PDOC00139,5190
1123,PDOC00139,5191
1124,PDOC00139,5192
1125,PDOC00139,5193
1126,PDOC00139,5194
1127,PDOC00139,5195
1128,PDOC00328,5195
1129,PDOC00139,5196
1130,PDOC00139,5197
1131,PDOC00139,5198
1132,PDOC00137,5200
1133,PDOC00138,5200
1134,PDOC00327,5200
1135,PDOC00420,5200
1136,PDOC00526,5200
1137,PDOC00137,5201
1138,PDOC00138,5201
1139,PDOC00327,5201
1140,PDOC00420,5201
1141,PDOC00526,5201
1142,PDOC00185,5203
1143,PDOC00185,5204
1144,PDOC00185,5205
1145,PDOC00185,5206
1146,PDOC00185,5207
1147,PDOC00185,5208
1148,PDOC00185,5209
1149,PDOC00185,5210
1150,PDOC00185,5211
1151,PDOC00185,5212
1152,PDOC00185,5213
1153,PDOC00185,5214
1154,PDOC00185,5215
1155,PDOC00185,5216
1156,PDOC00185,5217
1157,PDOC00185,5218
1158,PDOC00185,5219
1159,PDOC00185,5220
1160,PDOC00185,5221
1161,PDOC00185,5222
1162,PDOC00185,5223
1163,PDOC00185,5224
1164,PDOC00185,5225
1165,PDOC00185,5226
1166,PDOC00185,5227
1167,PDOC00185,5228
1168,PDOC00185,5229
1169,PDOC50990,5229
1170,PDOC00185,5230
1171,PDOC00185,5232
1172,PDOC00185,5233
1173,PDOC00185,5234
1174,PDOC00185,5235
1175,PDOC00139,5239
1176,PDOC00572,5245
1177,PDOC00343,5246
1178,PDOC00343,5247
1179,PDOC00572,5248
1180,PDOC00572,5250
1181,PDOC00269,5252
1182,PDOC00039,5254
1183,PDOC51192,5254
1184,PDOC51198,5254
1185,PDOC51199,5254
1186,PDOC51206,5254
1187,PDOC51413,5254
1188,PDOC00039,5255
1189,PDOC51192,5255
1190,PDOC01002,5256
1191,PDOC00859,5257
1192,PDOC00273,5258
1193,PDOC00905,5258
1194,PDOC00970,5258
1195,PDOC00272,5259
1196,PDOC00362,5260
1197,PDOC00199,5261
1198,PDOC00273,5262
1199,PDOC00150,5292
1200,PDOC00166,5309
1201,PDOC00167,5311
1202,PDOC50991,5311
1203,PDOC00166,5315
1204,PDOC00329,5323
1205,PDOC00585,5325
