id_enzyme,id_article
1,1
1,2
1,3
1,4
1,5
2,6
2,7
2,8
2,9
3,10
3,11
3,12
4,13
4,14
6,15
6,16
6,17
7,18
8,19
8,20
8,21
8,22
8,23
8,24
9,25
9,26
9,27
10,28
10,29
10,30
10,31
11,32
11,33
12,25
12,35
13,35
14,37
14,38
14,39
14,40
14,41
14,42
15,43
16,44
17,45
17,46
17,47
18,48
18,49
18,50
19,51
19,52
19,53
20,54
21,55
21,56
21,57
21,58
22,59
22,60
22,61
22,62
23,63
23,64
23,65
23,66
24,67
24,68
25,69
25,70
25,71
25,72
25,73
25,74
26,75
26,76
27,77
27,78
27,79
27,80
28,77
29,82
29,83
30,84
30,85
30,86
31,87
32,88
33,89
33,52
34,91
34,92
34,93
35,94
35,95
35,96
35,97
36,98
37,99
37,100
37,101
37,102
38,103
38,104
39,105
40,106
40,107
40,108
40,109
40,110
40,111
41,112
41,113
41,114
41,115
41,116
41,117
41,118
41,119
41,120
42,121
42,122
42,114
42,124
42,117
42,118
42,127
42,128
42,129
43,130
44,131
44,132
44,133
44,134
44,135
44,136
44,137
45,138
45,139
46,140
47,141
47,142
47,143
47,144
47,145
47,146
48,147
48,148
49,149
49,150
49,151
49,152
49,153
49,154
49,155
49,156
49,157
49,158
50,159
50,160
50,161
50,162
51,163
51,164
51,165
51,166
51,167
52,168
53,169
53,170
53,171
53,164
53,173
53,174
54,175
55,176
56,177
56,178
56,33
57,180
57,181
58,180
59,183
60,184
61,185
62,186
62,187
62,188
64,189
64,190
64,191
65,192
66,193
66,194
67,195
69,196
69,197
69,198
71,199
72,200
72,201
73,202
75,203
75,204
75,205
76,206
76,207
76,208
77,209
78,210
78,211
79,212
79,213
80,214
80,215
81,216
81,217
81,218
82,219
82,220
82,221
83,222
84,223
85,224
85,225
85,226
85,227
86,228
86,229
86,230
86,231
87,232
87,233
87,234
88,235
90,236
90,237
91,238
92,239
93,240
94,241
94,242
94,243
94,244
95,245
95,246
95,247
95,248
96,249
97,250
98,251
99,252
99,253
100,254
100,255
100,256
101,257
102,258
102,259
103,260
103,261
103,262
103,263
104,264
105,265
105,266
105,267
105,268
106,269
107,270
108,271
108,272
110,273
111,274
111,275
112,276
112,277
113,278
114,279
114,280
115,58
115,282
116,283
116,284
117,285
117,286
117,287
118,288
119,289
119,290
120,291
120,292
120,293
120,294
121,295
121,296
121,297
122,298
122,299
123,300
124,301
124,302
125,303
126,304
127,305
127,306
129,307
130,308
131,309
132,310
133,311
134,312
135,313
136,314
136,315
137,316
138,317
138,318
140,319
140,320
141,321
141,322
141,323
141,324
142,325
143,325
144,327
145,328
145,329
145,330
146,331
146,332
146,333
146,334
147,335
148,336
149,337
149,338
150,339
151,339
152,341
153,342
153,343
153,344
153,345
154,346
156,347
157,348
159,349
159,350
159,351
159,352
160,353
162,354
162,355
163,356
163,357
163,358
164,359
164,360
165,361
166,362
167,363
168,364
168,365
169,366
170,367
170,368
170,369
170,370
172,371
173,372
173,373
174,374
175,375
176,376
176,377
177,378
177,379
178,380
179,381
179,382
181,383
183,384
183,385
183,386
184,387
184,388
184,389
185,390
186,391
187,392
187,393
188,394
188,395
188,396
188,397
188,398
189,399
189,400
189,401
189,402
190,403
191,403
192,405
193,406
194,407
194,408
195,409
195,408
195,411
196,412
197,413
197,414
198,415
198,416
199,417
200,418
201,419
201,350
201,421
202,422
202,423
203,424
205,425
205,426
206,427
206,428
206,429
206,430
207,431
208,431
209,433
209,434
210,435
211,436
212,437
213,438
213,439
214,365
215,441
215,442
216,443
217,444
218,445
218,446
219,447
219,448
220,449
221,450
222,451
223,452
224,453
225,454
226,455
227,416
228,416
229,458
230,459
231,460
232,461
233,462
234,463
235,464
236,465
236,428
236,429
236,430
237,469
238,470
239,471
239,472
239,473
239,474
240,475
241,476
243,477
244,478
245,479
245,480
245,481
247,482
247,483
248,484
250,485
250,486
251,487
252,488
252,489
252,490
254,491
255,492
255,493
255,494
255,495
256,496
256,497
257,498
258,499
258,500
259,501
260,502
260,503
260,504
261,505
261,506
261,507
261,508
261,509
261,510
261,511
262,512
262,513
262,514
263,515
264,516
265,517
265,518
266,519
266,520
266,521
267,522
267,523
268,524
269,524
270,526
270,527
270,528
270,188
271,530
271,531
271,532
271,533
272,534
273,535
274,536
275,537
276,538
276,539
277,540
277,541
277,542
278,542
278,544
279,545
280,545
281,547
281,548
282,549
282,550
283,551
283,552
283,553
283,554
283,555
283,556
284,557
284,558
284,559
284,560
284,561
284,562
284,563
285,564
286,565
287,566
288,567
288,568
288,569
289,570
289,571
289,572
289,573
290,574
290,575
290,247
290,577
290,578
291,579
292,580
292,581
294,582
294,583
294,584
294,585
294,586
294,587
295,588
295,589
296,590
297,591
298,592
298,593
298,594
299,595
300,596
300,597
300,598
300,599
301,600
302,601
302,602
303,603
303,604
304,605
304,207
304,607
305,608
305,609
305,610
305,611
305,612
306,613
306,614
306,615
306,616
307,617
307,618
307,619
307,620
307,621
307,622
307,623
307,624
308,625
309,626
310,627
311,628
311,629
312,630
312,631
312,632
312,633
313,634
314,635
314,636
315,637
315,638
315,639
315,640
316,641
316,642
316,643
316,644
317,645
317,646
318,647
318,648
318,649
318,650
318,651
319,647
319,650
319,651
320,655
320,656
321,657
322,658
323,658
324,660
324,661
325,662
325,663
326,664
327,665
327,666
327,667
328,668
329,669
329,670
330,671
330,672
330,673
331,674
331,675
331,676
332,677
332,678
333,679
334,680
335,681
335,682
335,683
335,684
336,685
337,686
337,687
337,688
337,689
338,627
339,691
340,692
341,693
341,694
341,695
342,696
342,697
343,698
343,699
343,137
343,701
344,702
345,703
346,704
346,705
346,706
346,707
346,708
347,709
347,710
348,711
348,712
348,713
348,714
348,715
349,716
349,717
350,718
350,719
351,720
351,721
351,722
352,723
352,724
353,725
353,726
354,709
355,728
356,729
357,730
357,731
357,732
357,733
357,734
358,735
359,736
359,737
359,738
359,739
359,740
359,741
360,742
360,740
361,744
362,745
363,746
363,747
363,748
363,749
364,750
364,751
364,752
364,753
365,754
365,755
365,756
365,757
366,758
367,759
367,760
367,761
368,762
369,763
369,764
370,765
371,765
375,767
376,768
382,769
382,770
383,771
387,772
387,773
388,774
388,775
388,776
388,777
389,778
389,779
389,780
389,777
390,782
391,783
391,784
391,785
391,786
391,787
391,788
392,789
392,790
392,791
392,792
392,793
392,794
392,795
392,796
392,797
392,798
393,799
393,800
393,801
393,802
393,803
393,804
396,805
396,806
397,807
397,808
397,809
397,810
398,811
398,812
398,813
399,814
399,815
399,816
399,817
400,818
401,819
401,820
401,821
401,822
402,823
403,824
403,825
403,826
403,827
404,828
405,829
406,830
406,831
406,832
407,833
408,834
408,835
408,836
408,837
408,838
408,839
408,840
409,841
410,842
410,843
410,844
410,845
410,846
410,847
410,848
410,849
411,850
411,851
411,852
411,853
412,854
413,855
413,856
413,857
413,858
413,859
414,860
414,861
416,862
416,863
416,864
420,865
421,866
421,867
422,868
423,869
423,870
430,871
431,872
431,873
432,874
433,875
433,876
434,877
434,878
434,879
435,880
435,881
435,882
436,883
436,884
436,885
437,883
437,885
438,888
438,889
439,890
439,891
439,892
440,891
442,894
442,895
442,896
442,897
442,898
442,899
442,900
442,901
442,902
442,903
443,904
443,905
443,906
443,907
443,908
443,909
443,910
443,911
444,912
444,913
444,914
444,915
444,916
445,917
445,918
445,919
445,920
445,921
445,922
445,923
445,924
445,925
446,926
446,927
446,928
447,929
448,930
448,931
448,932
449,933
449,934
449,935
449,936
449,937
449,938
450,939
450,940
450,941
450,942
451,943
452,944
452,945
452,800
452,947
452,948
452,949
454,950
454,951
454,952
455,953
455,679
456,955
456,956
456,957
457,958
457,959
458,960
458,961
458,962
458,847
459,964
460,965
460,966
461,967
461,968
463,969
464,970
464,971
466,829
468,973
468,974
469,975
470,976
471,977
475,978
475,979
475,980
475,981
475,982
475,983
475,984
475,985
475,986
477,987
477,988
478,989
479,990
481,991
483,479
484,993
485,994
485,995
485,996
486,997
486,998
486,999
486,1000
486,1001
487,1002
487,1003
488,1004
488,1005
488,1006
489,1007
490,1008
490,1009
490,1010
492,1011
492,1012
492,1013
492,1014
492,1015
492,1016
493,1017
493,1018
493,1019
493,1020
493,1021
494,1022
494,1017
494,1024
494,1025
494,1026
495,1027
495,1028
496,1029
498,1030
498,1031
498,1032
499,1033
499,1034
500,1035
500,1033
500,1037
500,1038
501,1039
501,1033
501,1041
501,1042
501,1043
503,1044
503,1045
504,1046
504,1047
504,1048
504,1049
504,847
505,1051
506,1052
506,1053
506,1054
506,1055
506,1056
507,1057
507,1033
508,1059
508,1060
508,1061
508,1062
508,1063
509,1064
509,1065
509,1066
511,1067
512,1068
512,1069
512,1070
513,1071
514,1072
514,1068
514,1074
515,1075
515,1068
515,1077
515,1078
515,1079
515,1080
515,1081
515,1082
515,1083
516,1084
517,1085
518,1086
518,1087
519,1088
519,1089
519,1090
520,1091
520,1092
520,1093
521,1094
522,1095
523,1096
523,1097
523,1098
524,1099
525,1100
526,1101
526,1102
527,1103
528,1104
529,1105
532,1106
534,1107
534,1108
535,1109
537,1110
538,1111
539,1112
539,1113
540,1114
540,409
540,1116
542,1117
543,1118
544,1119
544,855
544,856
545,1089
545,1090
546,1124
546,1125
547,1126
547,1127
548,1126
549,1129
550,1079
553,1131
554,1132
555,1133
555,1134
556,1135
556,1136
556,1137
556,1138
557,1139
558,498
558,1141
559,374
559,1143
560,1144
560,1145
561,1146
563,1147
564,1148
565,1149
565,1150
566,1151
566,1152
566,1153
567,1154
567,1155
567,1156
567,1157
567,1158
567,1159
567,1160
568,1161
568,1162
568,1163
569,1164
570,1165
570,1166
571,592
571,1168
571,1169
571,594
572,1171
572,1169
572,593
573,1174
573,1175
574,1176
574,1177
575,1178
575,1179
576,1180
577,1181
578,1182
578,1183
579,1184
580,1185
581,1186
581,1187
581,1188
582,1189
582,710
583,1055
583,1192
583,1056
584,1194
584,1195
584,1196
584,1197
584,1198
585,1199
585,1200
587,1201
587,1202
587,1203
589,1204
591,1205
591,1206
592,1207
592,1208
592,1209
592,1210
592,1211
593,1212
593,1213
593,1214
593,1215
593,1216
593,1217
593,1218
593,1219
595,1220
595,1221
596,1222
596,1223
596,1224
597,1225
598,1226
598,1227
599,1228
599,1229
599,1230
599,1231
599,1232
599,1233
599,1234
600,1235
600,1236
601,1237
605,1135
606,1239
606,1240
606,1241
607,1242
607,1243
607,1244
608,1245
608,1242
608,1247
608,1244
610,1249
610,1250
610,1251
610,1252
610,1244
611,1254
611,1255
611,1256
611,1257
611,1258
611,1259
611,1260
611,1261
612,1262
612,1263
612,1264
612,1265
612,1266
614,1267
614,1268
614,1269
614,1270
614,1271
615,1209
615,1273
615,1274
616,1275
616,1276
616,1277
616,1278
617,1279
617,1278
618,1281
618,1282
618,1283
619,1284
619,1285
619,1282
619,1283
621,1288
621,1289
622,1290
622,1291
622,1292
622,1293
622,1294
622,1295
624,1296
624,1297
624,1298
624,1299
625,1300
625,1301
625,1302
626,1303
626,1304
626,1026
627,1306
627,1307
627,1308
627,1309
628,1310
629,1311
629,1312
629,1313
629,1314
630,1315
631,1316
631,1317
631,1318
631,1319
631,1320
631,1321
632,1322
632,1323
633,1324
633,1325
633,1326
633,1327
633,1328
633,1329
633,1330
633,1331
633,1332
635,1333
635,1334
636,1335
637,1336
638,1337
638,1338
639,1339
639,1340
639,1341
639,1342
639,1343
640,1344
641,1345
642,1346
643,1347
644,1348
644,1349
644,1350
644,1351
644,1352
644,1353
644,1354
645,1355
645,1356
646,1357
647,1358
648,1359
649,1360
649,1361
650,1362
651,1363
651,1364
651,1365
651,1366
651,1367
652,1368
652,1369
652,1370
652,1371
652,1372
652,1373
652,1374
652,1375
654,1376
655,1377
655,1378
657,1379
658,1380
659,1381
661,1382
662,1383
662,1384
663,1385
663,1386
664,1337
664,1388
665,1389
665,1390
665,1391
666,1392
667,1393
668,1393
669,1395
669,1396
670,1397
671,1398
672,1399
673,1400
673,1401
673,1402
673,1403
673,1404
674,1405
675,1406
676,1407
677,1408
678,1409
678,1410
679,1411
681,1412
683,1413
683,1414
684,1415
684,1416
686,1417
686,1418
686,1419
687,1420
688,1421
690,1422
690,1423
692,1424
693,1425
694,1426
695,1427
696,1428
697,1429
698,1430
699,1431
700,1432
700,1433
701,1434
701,1435
702,1436
703,1437
704,1438
704,1439
705,1440
705,1441
705,1442
705,1443
706,1444
706,1416
707,1446
707,1447
708,1448
708,1449
708,1450
709,1451
710,1452
710,1453
710,1454
710,585
710,1456
711,1457
712,1458
712,1457
713,1460
713,1461
713,1462
714,593
714,1464
715,1465
715,1466
716,1467
717,1468
718,1469
718,1470
719,1469
720,1469
721,1469
721,1470
721,1475
721,1476
722,1477
722,1478
723,1479
723,1480
723,1481
723,1482
724,1483
724,1484
725,1485
725,1486
726,1487
727,1487
728,1489
728,1490
728,1491
729,1492
730,1493
730,1494
730,1495
730,1496
731,1497
731,1498
731,1499
732,1500
732,1501
732,1502
733,1503
734,1504
734,1505
734,1506
735,1507
735,1508
735,1509
736,1510
